Сезон;Тур;Хозяева;Гости;Голы хозяев;Голы гостей;Дата матча;Букмекер_1;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Букмекер_2;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Букмекер_3;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;38-й тур;Арсенал;Брайтон;2;0;Матч завершен 23 мая 2021;1хСтавка;1.65;4.30;5.23;2.37;1.62;Winline;1.65;4.21;4.96;2.24;1.67;Fonbet;1.70;4.20;4.70;2.25;1.65;Английская Премьер-лига 2020-2021;29.12.20;Брайтон;Арсенал;0;1;Английская Премьер-лига 2019-2020;20.06.20;Брайтон;Арсенал;2;1;Английская Премьер-лига 2019-2020;05.12.19;Арсенал;Брайтон;1;2;Английская Премьер-лига 2018-2019;05.05.19;Арсенал;Брайтон;1;1;Английская Премьер-лига 2018-2019;26.12.18;Брайтон;Арсенал;1;1;19.05.21;КристалПэлас;Арсенал;1;3;12.05.21;Челси;Арсенал;0;1;09.05.21;Арсенал;Вест Бромвич;3;1;02.05.21;Ньюкасл;Арсенал;0;2;23.04.21;Арсенал;Эвертон;0;1;18.04.21;Арсенал;Фулхэм;1;1;11.04.21;ШеффилдЮнайтед;Арсенал;0;3;18.05.21;Брайтон;Манчестер Сити;3;2;15.05.21;Брайтон;Вест Хэм;1;1;09.05.21;Вулверхэмптон;Брайтон;2;1;01.05.21;Брайтон;Лидс;2;0;24.04.21;ШеффилдЮнайтед;Брайтон;1;0;20.04.21;Челси;Брайтон;0;0;12.04.21;Брайтон;Эвертон;0;0;Арсенал;9;;37;17;7;13;53;39;62;59;59;58;56;52;45;Брайтон;16;;37;9;14;14;40;44;44;43;42;41;39;28;26
2020-2021;38-й тур;Астон Вилла;Челси;2;1;Матч завершен 23 мая 2021;1хСтавка;7.15;4.86;1.46;2.47;1.57;Winline;6.81;4.91;1.44;2.34;1.59;Fonbet;7.30;4.80;1.45;2.35;1.60;Английская Премьер-лига 2020-2021;28.12.20;Челси;Астон Вилла;1;1;Английская Премьер-лига 2019-2020;21.06.20;Астон Вилла;Челси;1;2;Английская Премьер-лига 2019-2020;04.12.19;Челси;Астон Вилла;2;1;Английская Премьер-лига 2015-2016;02.04.16;Астон Вилла;Челси;0;4;Английская Премьер-лига 2015-2016;17.10.15;Челси;Астон Вилла;2;0;19.05.21;Тоттенхэм;Астон Вилла;1;2;16.05.21;КристалПэлас;Астон Вилла;3;2;13.05.21;АстонВилла;Эвертон;0;0;09.05.21;АстонВилла;Манчестер Юнайтед;1;3;01.05.21;Эвертон;Астон Вилла;1;2;25.04.21;АстонВилла;Вест Бромвич;2;2;21.04.21;АстонВилла;Манчестер Сити;1;2;18.05.21;Челси;Лестер;2;1;12.05.21;Челси;Арсенал;0;1;08.05.21;МанчестерСити;Челси;1;2;01.05.21;Челси;Фулхэм;2;0;24.04.21;ВестХэм;Челси;0;1;20.04.21;Челси;Брайтон;0;0;10.04.21;КристалПэлас;Челси;1;4;Астон Вилла;11;;37;15;7;15;53;45;59;58;56;52;45;44;43;Челси;3;Лига Чемпионов;37;19;10;8;57;34;0;83;71;67;66;66;62
2020-2021;38-й тур;Вест Хэм;Саутгемптон;3;0;Матч завершен 23 мая 2021;1хСтавка;1.78;3.97;4.58;2.26;1.72;Winline;1.76;3.85;4.43;2.10;1.73;Fonbet;1.72;4.00;4.75;2.20;1.68;Английская Премьер-лига 2020-2021;29.12.20;Саутгемптон;Вест Хэм;0;0;Английская Премьер-лига 2019-2020;29.02.20;Вест Хэм;Саутгемптон;3;1;Английская Премьер-лига 2019-2020;14.12.19;Саутгемптон;Вест Хэм;0;1;Английская Премьер-лига 2018-2019;04.05.19;Вест Хэм;Саутгемптон;3;0;Английская Премьер-лига 2018-2019;27.12.18;Саутгемптон;Вест Хэм;1;2;19.05.21;ВестБромвич;Вест Хэм;1;3;15.05.21;Брайтон;Вест Хэм;1;1;09.05.21;ВестХэм;Эвертон;0;1;03.05.21;Бернли;Вест Хэм;1;2;24.04.21;ВестХэм;Челси;0;1;17.04.21;Ньюкасл;Вест Хэм;3;2;11.04.21;ВестХэм;Лестер;3;2;18.05.21;Саутгемптон;Лидс;0;2;15.05.21;Саутгемптон;Фулхэм;3;1;11.05.21;Саутгемптон;Кристал Пэлас;3;1;08.05.21;Ливерпуль;Саутгемптон;2;0;30.04.21;Саутгемптон;Лестер;1;1;21.04.21;Тоттенхэм;Саутгемптон;2;1;12.04.21;ВестБромвич;Саутгемптон;3;0;Вест Хэм;6;Лига Европы;37;18;8;11;59;47;67;66;66;62;59;59;58;Саутгемптон;14;;37;12;7;18;47;65;52;45;44;43;42;41;39
2020-2021;38-й тур;Вулверхэмптон;Манчестер Юнайтед;1;2;Матч завершен 23 мая 2021;1хСтавка;2.23;3.73;3.17;1.70;2.21;Winline;2.37;3.14;3.29;1.55;2.43;Fonbet;2.35;3.40;3.10;1.90;1.90;Английская Премьер-лига 2020-2021;29.12.20;Манчестер Юнайтед;Вулверхэмптон;1;0;Английская Премьер-лига 2019-2020;01.02.20;Манчестер Юнайтед;Вулверхэмптон;0;0;Кубок Англии 2019-2020;15.01.20;Манчестер Юнайтед;Вулверхэмптон;1;0;Кубок Англии 2019-2020;04.01.20;Вулверхэмптон;Манчестер Юнайтед;0;0;Английская Премьер-лига 2019-2020;19.08.19;Вулверхэмптон;Манчестер Юнайтед;1;1;19.05.21;Эвертон;Вулверхэмптон;1;0;16.05.21;Тоттенхэм;Вулверхэмптон;2;0;09.05.21;Вулверхэмптон;Брайтон;2;1;03.05.21;ВестБромвич;Вулверхэмптон;1;1;25.04.21;Вулверхэмптон;Бернли;0;4;17.04.21;Вулверхэмптон;Шеффилд Юнайтед;1;0;09.04.21;Фулхэм;Вулверхэмптон;0;1;18.05.21;МанчестерЮнайтед;Фулхэм;1;1;13.05.21;МанчестерЮнайтед;Ливерпуль;2;4;11.05.21;МанчестерЮнайтед;Лестер;1;2;09.05.21;АстонВилла;Манчестер Юнайтед;1;3;25.04.21;Лидс;Манчестер Юнайтед;0;0;18.04.21;МанчестерЮнайтед;Бернли;3;1;11.04.21;Тоттенхэм;Манчестер Юнайтед;1;3;Вулверхэмптон;12;;37;12;9;16;35;50;58;56;52;45;44;43;42;Манчестер Юнайтед;2;Лига Чемпионов;37;20;11;6;71;43;0;0;83;71;67;66;66
2020-2021;38-й тур;Лестер;Тоттенхэм;2;4;Матч завершен 23 мая 2021;1хСтавка;1.83;4.60;3.74;2.53;1.55;Winline;1.78;4.15;4.15;2.50;1.52;Fonbet;1.87;4.15;3.85;2.25;1.65;Английская Премьер-лига 2020-2021;20.12.20;Тоттенхэм;Лестер;0;2;Английская Премьер-лига 2019-2020;19.07.20;Тоттенхэм;Лестер;3;0;Английская Премьер-лига 2019-2020;21.09.19;Лестер;Тоттенхэм;2;1;Английская Премьер-лига 2018-2019;10.02.19;Тоттенхэм;Лестер;3;1;Английская Премьер-лига 2018-2019;08.12.18;Лестер;Тоттенхэм;0;2;18.05.21;Челси;Лестер;2;1;11.05.21;МанчестерЮнайтед;Лестер;1;2;07.05.21;Лестер;Ньюкасл;2;4;30.04.21;Саутгемптон;Лестер;1;1;26.04.21;Лестер;Кристал Пэлас;2;1;22.04.21;Лестер;Вест Бромвич;3;0;11.04.21;ВестХэм;Лестер;3;2;19.05.21;Тоттенхэм;Астон Вилла;1;2;16.05.21;Тоттенхэм;Вулверхэмптон;2;0;08.05.21;Лидс;Тоттенхэм;3;1;02.05.21;Тоттенхэм;Шеффилд Юнайтед;4;0;21.04.21;Тоттенхэм;Саутгемптон;2;1;16.04.21;Эвертон;Тоттенхэм;2;2;11.04.21;Тоттенхэм;Манчестер Юнайтед;1;3;Лестер;5;Лига Европы;37;20;6;11;66;46;71;67;66;66;62;59;59;Тоттенхэм;7;Лига конференций;37;17;8;12;64;43;66;66;62;59;0;58;56
2020-2021;38-й тур;Ливерпуль;Кристал Пэлас;2;0;Матч завершен 23 мая 2021;1хСтавка;1.15;9.39;17.80;3.76;1.29;Winline;1.15;8.94;16.00;3.56;1.26;Fonbet;1.15;8.50;18.00;—;—;Английская Премьер-лига 2020-2021;19.12.20;Кристал Пэлас;Ливерпуль;0;7;Английская Премьер-лига 2019-2020;24.06.20;Ливерпуль;Кристал Пэлас;4;0;Английская Премьер-лига 2019-2020;23.11.19;Кристал Пэлас;Ливерпуль;1;2;Английская Премьер-лига 2018-2019;19.01.19;Ливерпуль;Кристал Пэлас;4;3;Английская Премьер-лига 2018-2019;20.08.18;Кристал Пэлас;Ливерпуль;0;2;19.05.21;Бернли;Ливерпуль;0;3;16.05.21;ВестБромвич;Ливерпуль;1;2;13.05.21;МанчестерЮнайтед;Ливерпуль;2;4;08.05.21;Ливерпуль;Саутгемптон;2;0;24.04.21;Ливерпуль;Ньюкасл;1;1;19.04.21;Лидс;Ливерпуль;1;1;10.04.21;Ливерпуль;Астон Вилла;2;1;19.05.21;КристалПэлас;Арсенал;1;3;16.05.21;КристалПэлас;Астон Вилла;3;2;11.05.21;Саутгемптон;Кристал Пэлас;3;1;08.05.21;ШеффилдЮнайтед;Кристал Пэлас;0;2;01.05.21;КристалПэлас;Манчестер Сити;0;2;26.04.21;Лестер;Кристал Пэлас;2;1;10.04.21;КристалПэлас;Челси;1;4;Ливерпуль;4;Лига Чемпионов;37;19;9;9;66;42;83;71;67;66;66;62;59;Кристал Пэлас;13;;37;12;8;17;41;64;56;52;45;44;43;42;41
2020-2021;38-й тур;Лидс;Вест Бромвич;3;1;Матч завершен 23 мая 2021;1хСтавка;1.54;4.85;5.76;2.69 ;1.49;Winline;1.53;4.65;5.41;2.56;1.48;Fonbet;1.57;4.50;5.30;—;—;Английская Премьер-лига 2020-2021;29.12.20;Вест Бромвич;Лидс;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.05.21;Саутгемптон;Лидс;0;2;15.05.21;Бернли;Лидс;0;4;08.05.21;Лидс;Тоттенхэм;3;1;01.05.21;Брайтон;Лидс;2;0;25.04.21;Лидс;Манчестер Юнайтед;0;0;19.04.21;Лидс;Ливерпуль;1;1;10.04.21;МанчестерСити;Лидс;1;2;19.05.21;ВестБромвич;Вест Хэм;1;3;16.05.21;ВестБромвич;Ливерпуль;1;2;09.05.21;Арсенал;Вест Бромвич;3;1;03.05.21;ВестБромвич;Вулверхэмптон;1;1;25.04.21;АстонВилла;Вест Бромвич;2;2;22.04.21;Лестер;Вест Бромвич;3;0;12.04.21;ВестБромвич;Саутгемптон;3;0;Лидс;10;;37;17;5;15;59;53;59;59;58;56;52;45;44;Вест Бромвич;19;Вылет в Чемпионшип;37;5;11;21;34;73;41;39;28;26;20;0;0
2020-2021;38-й тур;Манчестер Сити;Эвертон;5;0;Матч завершен 23 мая 2021;1хСтавка;1.31;6.09;9.83;2.96;1.42;Winline;1.28;6.30;9.73;2.80;1.43;Fonbet;1.35;5.80;8.50;2.35;1.60;Кубок Англии 2020-2021;20.03.21;Эвертон;Манчестер Сити;0;2;Английская Премьер-лига 2020-2021;17.02.21;Эвертон;Манчестер Сити;1;3;Английская Премьер-лига 2019-2020;01.01.20;Манчестер Сити;Эвертон;2;1;Английская Премьер-лига 2019-2020;28.09.19;Эвертон;Манчестер Сити;1;3;Английская Премьер-лига 2018-2019;06.02.19;Эвертон;Манчестер Сити;0;2;18.05.21;Брайтон;Манчестер Сити;3;2;14.05.21;Ньюкасл;Манчестер Сити;3;4;08.05.21;МанчестерСити;Челси;1;2;01.05.21;КристалПэлас;Манчестер Сити;0;2;21.04.21;АстонВилла;Манчестер Сити;1;2;10.04.21;МанчестерСити;Лидс;1;2;03.04.21;Лестер;Манчестер Сити;0;2;19.05.21;Эвертон;Вулверхэмптон;1;0;16.05.21;Эвертон;Шеффилд Юнайтед;0;1;13.05.21;АстонВилла;Эвертон;0;0;09.05.21;ВестХэм;Эвертон;0;1;01.05.21;Эвертон;Астон Вилла;1;2;23.04.21;Арсенал;Эвертон;0;1;16.04.21;Эвертон;Тоттенхэм;2;2;Манчестер Сити;1;Лига Чемпионов;37;26;5;6;78;32;0;0;0;83;71;67;66;Эвертон;8;;37;17;8;12;47;43;66;62;0;59;58;56;52
2020-2021;38-й тур;Фулхэм;Ньюкасл;0;2;Матч завершен 23 мая 2021;1хСтавка;2.61;3.48;2.78;2.15;1.78;Winline;2.47;3.37;2.82;2.03;1.79;Fonbet;2.25;3.60;3.10;2.15;1.70;Английская Премьер-лига 2020-2021;19.12.20;Ньюкасл;Фулхэм;1;1;Английская Премьер-лига 2018-2019;12.05.19;Фулхэм;Ньюкасл;0;4;Английская Премьер-лига 2018-2019;22.12.18;Ньюкасл;Фулхэм;0;0;Английская Премьер-лига 2013-2014;15.03.14;Фулхэм;Ньюкасл;1;0;Английская Премьер-лига 2013-2014;31.08.13;Ньюкасл;Фулхэм;1;0;18.05.21;МанчестерЮнайтед;Фулхэм;1;1;15.05.21;Саутгемптон;Фулхэм;3;1;10.05.21;Фулхэм;Бернли;0;2;01.05.21;Челси;Фулхэм;2;0;18.04.21;Арсенал;Фулхэм;1;1;09.04.21;Фулхэм;Вулверхэмптон;0;1;04.04.21;АстонВилла;Фулхэм;3;1;19.05.21;Ньюкасл;Шеффилд Юнайтед;1;0;14.05.21;Ньюкасл;Манчестер Сити;3;4;07.05.21;Лестер;Ньюкасл;2;4;02.05.21;Ньюкасл;Арсенал;0;2;24.04.21;Ливерпуль;Ньюкасл;1;1;17.04.21;Ньюкасл;Вест Хэм;3;2;11.04.21;Бернли;Ньюкасл;1;2;Фулхэм;18;Вылет в Чемпионшип;37;5;13;19;27;51;42;41;39;28;26;20;0;Ньюкасл;15;;37;11;9;17;44;62;45;44;43;42;41;39;28
2020-2021;38-й тур;Шеффилд Юнайтед;Бернли;1;0;Матч завершен 23 мая 2021;1хСтавка;3.08;3.47;2.40;2.15;1.78;Winline;2.77;3.37;2.52;2.03;1.79;Fonbet;2.90;3.60;2.35;2.15;1.70;Английская Премьер-лига 2020-2021;29.12.20;Бернли;Шеффилд Юнайтед;1;0;Английская Премьер-лига 2019-2020;05.07.20;Бернли;Шеффилд Юнайтед;1;1;Английская Премьер-лига 2019-2020;02.11.19;Шеффилд Юнайтед;Бернли;3;0;0;0;0;0;0;0;0;0;0;0;0;0;19.05.21;Ньюкасл;Шеффилд Юнайтед;1;0;16.05.21;Эвертон;Шеффилд Юнайтед;0;1;08.05.21;ШеффилдЮнайтед;Кристал Пэлас;0;2;02.05.21;Тоттенхэм;Шеффилд Юнайтед;4;0;24.04.21;ШеффилдЮнайтед;Брайтон;1;0;17.04.21;Вулверхэмптон;Шеффилд Юнайтед;1;0;11.04.21;ШеффилдЮнайтед;Арсенал;0;3;19.05.21;Бернли;Ливерпуль;0;3;15.05.21;Бернли;Лидс;0;4;10.05.21;Фулхэм;Бернли;0;2;03.05.21;Бернли;Вест Хэм;1;2;25.04.21;Вулверхэмптон;Бернли;0;4;18.04.21;МанчестерЮнайтед;Бернли;3;1;11.04.21;Бернли;Ньюкасл;1;2;Шеффилд Юнайтед;20;Вылет в Чемпионшип;37;6;2;29;19;63;39;28;26;20;0;0;0;Бернли;17;;37;10;9;18;33;54;43;42;41;39;28;26;20
