Сезон;Тур;Хозяева;Гости;Голы хозяев;Голы гостей;Дата матча;1хСтавка;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Winline;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Fonbet;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;38-й тур;Анже;Лилль;1;2;Матч завершен 23 мая 2021;1хСтавка;9.44;4.47;1.42;2.23;1.73;Winline;7.64;5.02;1.38;2.19;1.68;Fonbet;8.00;5.15;1.37;2.15;1.70;Лига 1 2020-2021;06.01.21;Лилль;Анже;1;2;Лига 1 2019-2020;07.02.20;Анже;Лилль;0;2;Лига 1 2019-2020;13.09.19;Лилль;Анже;2;1;Лига 1 2018-2019;18.05.19;Лилль;Анже;5;0;Лига 1 2018-2019;01.09.18;Анже;Лилль;1;0;16.05.21;Марсель;Анже;3;2;09.05.21;Анже;Дижон;3;0;02.05.21;Лорьян;Анже;2;0;25.04.21;Анже;Монако;0;1;17.04.21;Анже;Ренн;0;3;11.04.21;Лион;Анже;3;0;04.04.21;Анже;Монпелье;1;1;16.05.21;Лилль;Сент-Этьен;0;0;07.05.21;Ланс;Лилль;0;3;01.05.21;Лилль;Ницца;2;0;25.04.21;Лион;Лилль;2;3;16.04.21;Лилль;Монпелье;1;1;09.04.21;Мец;Лилль;0;2;03.04.21;ПСЖ;Лилль;0;1;Анже;12;;37;12;8;17;39;56;49;46;46;44;42;42;41;Лилль;1;Лига Чемпионов;37;23;11;3;62;22;0;0;0;80;79;77;76
2020-2021;38-й тур;Брест;ПСЖ;0;2;Матч завершен 23 мая 2021;1хСтавка;12.20;7.75;1.22;4.00;1.26;Winline;9.78;7.17;1.25;3.89;1.22;Fonbet;11.00;8.00;1.20;—;—;Кубок Франции 2020-2021;07.03.21;Брест;ПСЖ;0;3;Лига 1 2020-2021;09.01.21;ПСЖ;Брест;3;0;Лига 1 2019-2020;09.11.19;Брест;ПСЖ;1;2;Лига 1 2012-2013;18.05.13;ПСЖ;Брест;3;1;Лига 1 2012-2013;21.12.12;Брест;ПСЖ;0;3;16.05.21;Монпелье;Брест;0;0;09.05.21;Ницца;Брест;3;2;02.05.21;Брест;Нант;1;4;24.04.21;Сент-Этьен;Брест;1;2;18.04.21;Брест;Ланс;1;1;11.04.21;Брест;Ним;1;1;04.04.21;Лорьян;Брест;1;0;16.05.21;ПСЖ;Реймс;4;0;09.05.21;Ренн;ПСЖ;1;1;01.05.21;ПСЖ;Ланс;2;1;24.04.21;Мец;ПСЖ;1;3;18.04.21;ПСЖ;Сент-Этьен;3;2;10.04.21;Страсбур;ПСЖ;1;4;03.04.21;ПСЖ;Лилль;0;1;Брест;16;;37;11;8;18;50;64;42;42;41;41;41;35;18;ПСЖ;2;Лига Чемпионов;37;25;4;8;84;28;0;0;80;79;77;76;59
2020-2021;38-й тур;Ланс;Монако;0;0;Матч завершен 23 мая 2021;1хСтавка;5.42;4.65;1.58;2.50;1.56;Winline;5.25;4.54;1.58;2.59;1.49;Fonbet;5.30;4.50;1.57;2.35;1.60;Лига 1 2020-2021;16.12.20;Монако;Ланс;0;3;Лига 1 2014-2015;26.04.15;Ланс;Монако;0;3;Лига 1 2014-2015;02.12.14;Монако;Ланс;2;0;Лига 1 2010-2011;15.05.11;Монако;Ланс;1;1;Лига 1 2010-2011;21.08.10;Ланс;Монако;2;2;16.05.21;Бордо;Ланс;3;0;07.05.21;Ланс;Лилль;0;3;01.05.21;ПСЖ;Ланс;2;1;25.04.21;Ланс;Ним;2;1;18.04.21;Брест;Ланс;1;1;11.04.21;Ланс;Лорьян;4;1;03.04.21;Ланс;Лион;1;1;16.05.21;Монако;Ренн;2;1;09.05.21;Реймс;Монако;0;1;02.05.21;Монако;Лион;2;3;25.04.21;Анже;Монако;0;1;18.04.21;Бордо;Монако;0;3;11.04.21;Монако;Дижон;3;0;03.04.21;Монако;Мец;4;0;Ланс;6;Лига конференций;37;15;11;11;55;54;77;76;59;56;55;51;49;Монако;3;Лига Чемпионов;37;24;5;8;76;42;0;80;79;77;76;59;56
2020-2021;38-й тур;Лион;Ницца;2;3;Матч завершен 23 мая 2021;1хСтавка;1.21;7.96;12.60;4.30;1.24;Winline;1.21;7.78;10.00;4.15;1.20;Fonbet;1.20;7.50;12.00;—;—;Лига 1 2020-2021;19.12.20;Ницца;Лион;1;4;Лига 1 2019-2020;02.02.20;Ницца;Лион;2;1;Кубок Франции 2019-2020;30.01.20;Ницца;Лион;1;2;Лига 1 2019-2020;23.11.19;Лион;Ницца;2;1;Лига 1 2018-2019;10.02.19;Ницца;Лион;1;0;16.05.21;Ним;Лион;2;5;08.05.21;Лион;Лорьян;4;1;02.05.21;Монако;Лион;2;3;25.04.21;Лион;Лилль;2;3;18.04.21;Нант;Лион;1;2;11.04.21;Лион;Анже;3;0;03.04.21;Ланс;Лион;1;1;16.05.21;Ницца;Страсбур;0;2;09.05.21;Ницца;Брест;3;2;01.05.21;Лилль;Ницца;2;0;25.04.21;Ницца;Монпелье;3;1;18.04.21;Дижон;Ницца;2;0;11.04.21;Ницца;Реймс;0;0;04.04.21;Нант;Ницца;1;2;Лион;4;Лига Европы;37;22;10;5;79;40;80;79;77;76;59;56;55;Ницца;9;;37;14;7;16;47;51;56;55;51;49;46;46;44;Ницца;18;Вылет в Лигу-2;37;9;8;20;40;69;41;41;41;35;18;0;0
2020-2021;38-й тур;Мец;Марсель;1;1;Матч завершен 23 мая 2021;1хСтавка;4.08;3.67;1.95;2.10;1.82;Winline;3.94;3.81;1.89;2.24;1.67;Fonbet;3.75;3.75;1.95;2.20;1.67;Лига 1 2020-2021;26.09.20;Марсель;Мец;1;1;Лига 1 2019-2020;14.12.19;Мец;Марсель;1;1;Лига 1 2017-2018;02.02.18;Марсель;Мец;6;3;Лига 1 2017-2018;29.11.17;Мец;Марсель;0;3;Лига 1 2016-2017;03.02.17;Мец;Марсель;1;0;16.05.21;Лорьян;Мец;2;1;09.05.21;Мец;Ним;0;3;02.05.21;Дижон;Мец;1;5;24.04.21;Мец;ПСЖ;1;3;18.04.21;Реймс;Мец;0;0;09.04.21;Мец;Лилль;0;2;03.04.21;Монако;Мец;4;0;16.05.21;Марсель;Анже;3;2;09.05.21;Сент-Этьен;Марсель;1;0;30.04.21;Марсель;Страсбур;1;1;23.04.21;Реймс;Марсель;1;3;17.04.21;Марсель;Лорьян;3;2;10.04.21;Монпелье;Марсель;3;3;04.04.21;Марсель;Дижон;2;0;Мец;10;;37;12;10;15;43;47;55;51;49;46;46;44;42;Марсель;5;Лига Европы;37;16;11;10;53;46;79;77;76;59;56;55;51
2020-2021;38-й тур;Нант;Монпелье;1;2;Матч завершен 23 мая 2021;1хСтавка;1.60;4.58;5.34;2.38;1.61;Winline;1.58;4.43;5.05;2.47;1.51 ;Fonbet;1.50;4.50;6.20;2.50;1.53;Лига 1 2020-2021;09.01.21;Монпелье;Нант;1;1;Лига 1 2019-2020;31.08.19;Нант;Монпелье;1;0;Лига 1 2018-2019;18.05.19;Монпелье;Нант;1;1;Лига 1 2018-2019;08.01.19;Нант;Монпелье;2;0;Лига 1 2017-2018;06.05.18;Нант;Монпелье;0;2;16.05.21;Дижон;Нант;0;4;08.05.21;Нант;Бордо;3;0;02.05.21;Брест;Нант;1;4;25.04.21;Страсбур;Нант;1;2;18.04.21;Нант;Лион;1;2;11.04.21;Ренн;Нант;1;0;04.04.21;Нант;Ницца;1;2;16.05.21;Монпелье;Брест;0;0;09.05.21;Страсбур;Монпелье;2;3;02.05.21;Монпелье;Сент-Этьен;1;2;25.04.21;Ницца;Монпелье;3;1;16.04.21;Лилль;Монпелье;1;1;10.04.21;Монпелье;Марсель;3;3;04.04.21;Анже;Монпелье;1;1;Нант;18;Вылет в Лигу-2 (Стыковые матчи);37;9;13;15;46;53;41;41;41;40;35;18;0;Монпелье;8;;37;13;12;12;58;61;59;56;55;51;49;46;46
2020-2021;38-й тур;Реймс;Бордо;1;2;Матч завершен 23 мая 2021;1хСтавка;2.54;3.09;3.18;2.05;1.86;Winline;2.68;3.04;2.83;1.77;2.05;Fonbet;2.70;2.95;2.95;1.72;2.12;Лига 1 2020-2021;23.12.20;Бордо;Реймс;1;3;Лига 1 2019-2020;30.11.19;Реймс;Бордо;1;1;Лига 1 2018-2019;18.05.19;Бордо;Реймс;0;1;Лига 1 2018-2019;29.09.18;Реймс;Бордо;0;0;Лига 1 2015-2016;27.02.16;Реймс;Бордо;4;1;16.05.21;ПСЖ;Реймс;4;0;09.05.21;Реймс;Монако;0;1;02.05.21;Ним;Реймс;2;2;23.04.21;Реймс;Марсель;1;3;18.04.21;Реймс;Мец;0;0;11.04.21;Ницца;Реймс;0;0;04.04.21;Реймс;Ренн;2;2;16.05.21;Бордо;Ланс;3;0;08.05.21;Нант;Бордо;3;0;02.05.21;Бордо;Ренн;1;0;25.04.21;Лорьян;Бордо;4;1;18.04.21;Бордо;Монако;0;3;11.04.21;Сент-Этьен;Бордо;4;1;04.04.21;Бордо;Страсбур;2;3;Реймс;13;;37;9;15;13;41;48;46;46;44;42;42;41;41;Бордо;14;;37;12;6;19;40;55;46;44;42;42;41;41;41
2020-2021;38-й тур;Ренн;Ним;2;0;Матч завершен 23 мая 2021;1хСтавка;1.24;6.60;13.20;3.00;1.41;Winline;1.23;6.67;10.00;3.00;1.37;Fonbet;1.23;6.50;11.80;—;—;Лига 1 2020-2021;13.09.20;Ним;Ренн;2;4;Лига 1 2019-2020;23.02.20;Ренн;Ним;2;1;Лига 1 2019-2020;15.01.20;Ним;Ренн;0;1;Лига 1 2018-2019;09.04.19;Ним;Ренн;3;1;Лига 1 2018-2019;22.12.18;Ренн;Ним;4;0;16.05.21;Монако;Ренн;2;1;09.05.21;Ренн;ПСЖ;1;1;02.05.21;Бордо;Ренн;1;0;25.04.21;Ренн;Дижон;5;1;17.04.21;Анже;Ренн;0;3;11.04.21;Ренн;Нант;1;0;04.04.21;Реймс;Ренн;2;2;16.05.21;Ним;Лион;2;5;09.05.21;Мец;Ним;0;3;02.05.21;Ним;Реймс;2;2;25.04.21;Ланс;Ним;2;1;18.04.21;Ним;Страсбур;1;1;11.04.21;Брест;Ним;1;1;04.04.21;Ним;Сент-Этьен;0;2;Ренн;7;;37;15;10;12;50;40;76;59;56;55;51;49;46;Ним;18;Вылет в Лигу-2;37;9;8;20;40;69;41;41;41;35;18;0;0
2020-2021;38-й тур;Сент-Этьен;Дижон;0;1;Матч завершен 23 мая 2021;1хСтавка;1.29;5.81;11.80;2.96;1.42;Winline;1.29;5.98;9.07;2.77;1.42;Fonbet;1.26;6.10;11.00;2.45;1.55;Лига 1 2020-2021;06.12.20;Дижон;Сент-Этьен;0;0;Лига 1 2019-2020;10.08.19;Дижон;Сент-Этьен;1;2;Лига 1 2018-2019;22.02.19;Дижон;Сент-Этьен;0;1;Лига 1 2018-2019;22.12.18;Сент-Этьен;Дижон;3;0;Лига 1 2017-2018;03.03.18;Сент-Этьен;Дижон;2;2;16.05.21;Лилль;Сент-Этьен;0;0;09.05.21;Сент-Этьен;Марсель;1;0;02.05.21;Монпелье;Сент-Этьен;1;2;24.04.21;Сент-Этьен;Брест;1;2;18.04.21;ПСЖ;Сент-Этьен;3;2;11.04.21;Сент-Этьен;Бордо;4;1;04.04.21;Ним;Сент-Этьен;0;2;16.05.21;Дижон;Нант;0;4;09.05.21;Анже;Дижон;3;0;02.05.21;Дижон;Мец;1;5;25.04.21;Ренн;Дижон;5;1;18.04.21;Дижон;Ницца;2;0;11.04.21;Монако;Дижон;3;0;04.04.21;Марсель;Дижон;2;0;Сент-Этьен;11;;37;12;10;15;42;53;51;49;46;46;44;42;42;Дижон;19;Вылет в Лигу-2;37;3;9;25;24;73;41;41;35;18;0;0;0
2020-2021;38-й тур;Страсбур;Лорьян;1;1;Матч завершен 23 мая 2021;1хСтавка;2.97;2.16;4.32;1.57;2.41;Winline;2.78;2.19;4.19;1.43;2.76;Fonbet;2.95;2.05;4.45;1.48;2.65;Лига 1 2020-2021;23.08.20;Лорьян;Страсбур;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.05.21;Ницца;Страсбур;0;2;09.05.21;Страсбур;Монпелье;2;3;30.04.21;Марсель;Страсбур;1;1;25.04.21;Страсбур;Нант;1;2;18.04.21;Ним;Страсбур;1;1;10.04.21;Страсбур;ПСЖ;1;4;04.04.21;Бордо;Страсбур;2;3;16.05.21;Лорьян;Мец;2;1;08.05.21;Лион;Лорьян;4;1;02.05.21;Лорьян;Анже;2;0;25.04.21;Лорьян;Бордо;4;1;17.04.21;Марсель;Лорьян;3;2;11.04.21;Ланс;Лорьян;4;1;04.04.21;Лорьян;Брест;1;0;Страсбур;15;;37;11;8;18;48;57;44;42;42;41;41;41;35;Лорьян;17;;37;11;8;18;49;67;42;41;41;41;35;18;0
